"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
@,,01b65ecfb5307bff0d8222f266b9d641b6a203db,,,"Congo Bongo",,,@,1983,Sega,@,@,@,@,@,@,@,@,@,@,@,,,
@,,0202c0d86c4b793c58af021edfb3c077ae3169a5,,,"Home Mahjong",,,v0,1984,Sega,jp,@,@,@,@,@,@,@,@,@,@,,,
"Champion Golf",,05deb000f24b7d8625c6e9332dcc91416ed3258f,,,,,,Cartridge,1983,"Logitec | Sega",,,Cartridge,,,,,,,,@,,,
@,,06fe09074bef542b590761ba585911d0998af646,,,"Safari Race",,,@,1984,Aaronix,tw,@,"AKA Feizhou Da Saiche",@,@,@,@,@,@,@,@,,,
@,,0833be2743608983012cab6e3bdd6fd56453114e,,,Pacar,,,@,1983,Aaronix,tw,@,"AKA Mi Hun Che",@,@,@,@,@,@,@,@,,,
"Chack'n Pop",,08b5c1135f9678465ece6a886c948ce091637372,,,,,,,1985,"Sega | Taito",,,,,,,,,,,@,,,
"Space Mountain",,08d9360d6e92b081d99b7629f91d4fe482383a18,,,,,,,,,,,,,,,,,,,,,,
"Zoom 909",,09552aaa7140f9fc780b5f7d541478b534320075,,,,,,,1985,Sega,jp,?,,,,,,,,,@,,,
"!Public Domain",,09590758b33f704cc520d80ac28942a1558c0f05,,,"Fudebrowser: SkyBaby's SMSList",,,,2000,SkyBaby,,?,,,,,,,,,@,,,
@,,0a49de909b07b69a24b5c02ad08446e2cd1787d2,,,"Super Tank",,,@,198x,"Samsung | Sega",kr,@,@,@,@,@,@,@,@,@,@,,,
@,,0a6157837af2e5dec2e9b30d475b48fa7c14cc3e,,,"Yie Ar Kung-Fu",,,@,1985,Aaronix,tw,@,"AKA Gongfu",@,@,@,@,@,@,@,@,,,
"Champion Soccer",,0b3cf82f020ac9249ea52766ffbad41515d0b8b4,,,,,,,1984,Sega,jp,?,,,,,,,,,@,,,
@,,0c1957a5faae5254c69f3331e79d87499dd7cf48,,,Rally-X,,,@,1986,DahJee,tw,@,"AKA Wuzei Che",@,@,@,@,@,@,@,@,,,
@,,0c419fdd769371f97c66030c51b21c786b89a105,,,"Die Dui Die",,,@,1985,Aaronix,tw,@,"AKA Elevator Action",@,@,@,@,@,@,@,@,,,
@,,0ca3b740b28266a2a606127ed8967c684b67cb44,,,"Tanke Dazhan",,,@,1986,DahJee,tw,@,"AKA Tank Battalion",@,@,@,@,@,@,@,@,,,
@,,0d014fc9db775b62ff55196b85b8e91c5e3249f3,,,"Super Tank",,,@,198x,Sega,tw,@,@,@,@,@,@,@,@,@,@,,,
"!Public Domain",,0d6c27af48bd4fb4d1d4ebead0db3da6b4f727f6,,,Omikuji,,,,1998,Maechiko,,?,,,,,,,,,@,,,
"Girl's Garden",,0e08786587fb76909b3f9806ba1f5d57ea17728c,,,,,,,1984,Sega,jp,?,,,,,,,,,@,,,
@,,10e0bc955e3f5df65afaf505bd6203b6fedabd50,,,"Cross Chase",,,@,2018/10/29,"Caruso, Fabrizio",@,@,UDG,@,@,@,@,@,@,@,@,,,
@,,11773e7eb2dca727ea293b5aa50ed8094df29f41,,,"GP World",,,v0,1985,Aaronix,tw,@,"AKA Fengkuang Da Saiche",@,@,@,@,@,@,@,@,,,
"Terebi Oekaki",,12296f2bb57d80d1774749d3002a039e0940c6fa,,,,,,,1985,Sega,jp,?,,,,,,,,,@,,,
@,,14e8396f2663ff50f61d177255c207ff7dca1262,,,Ascend,,,@,2022/04/11,Inufuto,jp,@,@,@,@,@,@,@,@,@,@,,,
@,,154669944d899faa1db1cea3fecce9eb162eb3fd,,,"Hang-On II",,,@,198x,Sega,tw,@,@,@,@,@,@,@,@,@,@,,,
@,,172a8ff1a574d7920906c5cf60e1d39f31b9b639,,,Zaxxon,,,@,1985,Aaronix,tw,@,"AKA Tuji Dabenying",@,@,@,@,@,@,@,@,,,
"Doki Doki Penguin Land",,176e2d2648b20e6fac823021697138803ef38b27,,,,,,,19xx,"Chia-Ling Corp | Sega",tw,?,,,,,,,,,@,,,
"!Public Domain",,185575d35e32cd9280015a4b63a4b24c3179f220,,,"Fudebrowser: ExpoSALT Logo",,,,2000,"Bittencourt, Ricardo",,?,,,,,,,,,@,,,
@,,18a6b34d071feaad416704d5e6fd7680374dd669,,,"Mo Tian Da Lou",,,@,1985,Aaronix,tw,@,"AKA Rock n' Bolt",@,@,@,@,@,@,@,@,,,
@,,18f7ab9fe95aeacceab36297cdf9374dc7e3233f,,,"Bi Li Da Dao",,,@,1984,Aaronix,tw,@,"AKA Bank Panic",@,@,@,@,@,@,@,@,,,
H.E.R.O.,,19acb69b7b64da5083349d8bc40a47beacc88c41,,,,,,,1985,"Activision | Sega",jp,?,,,,,,,,,@,,,
"Sega Logo",,1a54fbf5bd1442a96e7806249a6812ea2006e092,,,,,,"SC-3000 | v1.0e",,,,!,,,,,,,,,,,,
"Safari Race",,1d2ca62c894fc8aab97605e65078e834bbbe3d8b,,,,,,,1988,Sega,,?,,,,,,,,,@,,,
"Pachinko II",,1dbc4babbbb377a1ff59a11e550a9b1b5e742b02,,,,,,,1984,Sega,,?,,,,,,,,,@,,,
@,,1e25fc699baa715710f3f6375dbcb107bfc044f5,,,"Hang-On II",,,@,198x,Sega,tw,@,@,@,@,@,@,@,@,@,@,,,
"Sega Disk Basic",,1e3c0651757d304ba1184e43f1cb1ce1ca3be22e,,,,,,"SF-7000 | v1.0p",,,,?,,,,,,,,,,,,
"Hustle Chumy",,1f1bad94b2d869c10a2373ca40d4076d227cc302,,,,,,,1984,"Compile | Sega",,?,,,,,,,,,@,,,
"Sega SC-3000 BASIC",,1fa9f4ec347681d7909415b6d06179e44b0fcd5e,,,"Sega SC-3000 BASIC Level 2",,,v1.0,1983,Mitec,jp,?,,,,,,,,,,,,
@,,21770691191b62bafec9099bbe0f9942f5480f83,,,"Du Du Che",,,@,1986,DahJee,tw,@,"AKA Rally-X",@,@,@,@,@,@,@,@,,,
@,,23f22b407df4ae8d7931051eb229efd862bea5f7,,,"Lode Runner",,,@,19xx,Sega,tw,@,@,@,@,@,@,@,@,@,@,,,
@,,240600a0dda16809f49b173f731c7fdaf921466a,,,"Wonder Boy",,,v1,1986,Sega,@,@,@,@,@,@,@,@,@,@,@,,,
